user_id,course_membership_role,course_membership_ts
0002070a9e3ec3b5564ca97a03e2cf16fa3da68f,LEARNER,17/02/19
00062e427e68c589f0ccf2ab1a1a6a6347e85f96,LEARNER,22/06/18 19:15
000709cebf752b5906a90faff9218aa611a161fd,LEARNER,01/06/18 4:38
000c5395bf753e8ae62d9a2b8f9d594f6694a0c6,LEARNER,23/05/18 1:53
000eae12316a7d5ba48328e1d31802797d8e2700,LEARNER,31/07/18 15:43
000f0cd90766de82f7b5e83707296cfb42527d55,LEARNER,24/05/18 18:48
000f427d5d61c9797de4bfc1015bff19788f1c63,LEARNER,28/06/18 12:20
00107cf2141f3fe2777970f07477c65ccc1994ea,LEARNER,08/06/18 6:25
0010c748fae80a9469a3fdf90b2911b5ff48f575,LEARNER,18/09/18 12:14
001112b1e98e9563c26e89c32eaac096ae3f2a37,LEARNER,27/05/18 14:31
001226ff5ecb9154416956b8a601fa18a0d8a0fb,LEARNER,17/12/18 15:08
0015b4d8db7fd92011be45ebe4fcbb5ac087a551,LEARNER,28/06/18 8:04
0015fd6f598e903493479c6724d2766e553280b4,LEARNER,17/06/19 15:03
00181b7a40ba24da9c2c1eecdce75f18824b668f,LEARNER,22/10/18 17:50
00185531dab6a525c37199399a9f7d52c0e63060,LEARNER,24/05/18 1:28
0018c27a69429950446b34ece99d6d6bcd4bdc3d,LEARNER,17/07/18 15:23
0019071b6c59d66db2647bbfc65cbe74489f7251,LEARNER,22/06/18 6:11
0019e22e9f448e81903b49e95fd9591d317416de,LEARNER,06/10/18 12:52
001bac573dcb689f64e54e92dbb765337bc52b0a,LEARNER,08/06/18 7:11
001c360fa27122b1f46d9fe79f1fe4c3e8485eb6,LEARNER,12/10/18 5:33
00220f79d3512f6367ab4243a25ba9b96aa991a3,LEARNER,22/05/18 5:34
0028f8450c83288a3f9ae8404a398165b4b061e2,LEARNER,08/06/18 8:21
0029266d91a0972a6a4dc9805d1ba8ef129b25f3,LEARNER,18/06/18 4:19
00318bc2b4e320ff75e1e574b2f61488be2471b6,LEARNER,18/06/18 21:41
003491fa42d46a0f23b6b64d14085bbb18e5f354,LEARNER,05/09/18 12:09
00394ae41bfcec9bcb2792d55a5a38782595545e,LEARNER,25/06/18 9:39
003a31d82f944376db86ce80e5fbf12af2e4774b,LEARNER,20/11/18 16:27
003b2a1503269cf6f35e3b7547bea1189a2e3304,LEARNER,14/07/18 11:19
003ba0b79f789641dbad46f9d46c1b71e0517f39,LEARNER,24/05/18 7:47
003c1d70f8036cfd0dbcd1accccbb7c17cc9149c,LEARNER,22/06/18 17:15
003c313e5a492b3c181c4d0f2d228f0e3ceb6bcc,LEARNER,17/09/18 6:01
003d186af0f941bf2fcdb261f4a2dd9865b4208f,LEARNER,23/01/19 8:40
003e56ad25597bad18ad94eb0e00d132e57d1c5f,LEARNER,22/05/18 7:34
003ee1bbf2db5a71784687e1f963133999d17179,LEARNER,24/05/18 12:52
003ee1bbf2db5a71784687e1f963133999d17179,NOT_ENROLLED,26/07/19 17:12
00458fe1a24fbe177517e24495eb1442b6edacd1,LEARNER,19/01/19 7:05
0045f00b8fdeb642953979237f9d7a2d125f6263,LEARNER,15/11/18 3:11
004657138dbb92abd2960b2558fc65ba142168ad,LEARNER,24/05/18 11:28
004799d38d4320165c1425a1f7055e87ae341eff,LEARNER,31/05/19 11:44
0049326c2e47e2b2ded190752b17c33dc21fa6ec,LEARNER,22/06/18 20:41
004bdb52aeb4940a2f5865a3311c9a0a77ccf086,LEARNER,25/05/18 4:53
004f3f0b591d5d00434591908a0739f6fc247628,LEARNER,21/07/19 23:01
004fd0b681d9d87c81eb0c744cc55ab3fc1ffc95,LEARNER,28/08/18 7:58
00514a650f54b93f053121279cc762674b616a7a,LEARNER,27/01/19 16:32
0053ac6fa53d407bdcd01c90a2438c232b6b472e,LEARNER,15/06/18 22:36
0054171c4e347ea72bb44e9fb8696bb0c012147f,LEARNER,11/07/18 20:58
005bd6137179453c28c80a0f945838b424e7b9c6,LEARNER,08/09/18 15:04
005debfd582cf265994fc8be4ac7cc5fce76eba1,LEARNER,16/11/18 21:52
005f2fef993ea3005ff3ab0d642774cc71cda8f3,LEARNER,27/07/19 6:37
006009d71f7ce058f0b16d711ffe05670fd24629,LEARNER,06/01/19 5:27
00620132ddd717814ece3b44ea7d38f2e430aff3,LEARNER,01/10/18 13:01
00649bb73bef6e6ff6b962d7bc57b555263d16df,LEARNER,17/06/19 12:16
0064c8bcdc7e8f5f6559a3d8e86f47843f0d65ae,LEARNER,26/07/19 5:09
00687baa433d3f769690f2da74a94bef6c477241,LEARNER,30/08/18 2:04
00691bf371a956c083b6f36737dfb56a4fa74a3d,LEARNER,22/02/19 2:33
0069931287802ff4bdf129c92648702bfbf46831,LEARNER,23/05/18 14:14
006d0685ad406c4a037a3ee692ea5f07861d7d8b,LEARNER,22/07/18 10:51
006d788dec2535e13582a8e3c6e9962024118342,LEARNER,23/06/18 3:48
00728d210838968ab1161f22ba60d6ba60fb19a5,LEARNER,24/05/18 11:50
0074c5916c28a54534a22211daf4dc9cd19552b9,LEARNER,05/06/18 10:16
0076c4e3c5835c0584d496af1a67edb3052368de,LEARNER,09/08/18 1:12
007b8d72c4f2dc632293358de54448b20d84bae4,LEARNER,28/11/18 17:30
0081f915fa0bd72ea838206b92a79c7b392b386f,LEARNER,19/08/18 18:49
00822c68c3a563e68cf960894cd22aa867cc45f6,LEARNER,29/04/19 13:03
0083352b400cd43988a4840d6b1e2abcfbee31eb,LEARNER,23/01/19 11:27
00873badbc0400f873d40144284b478e4945f37b,LEARNER,04/06/18 21:34
0089fc6c91dbbde7b4ae58bdc7ecb5c3c33a44ae,LEARNER,03/10/18 14:57
008d07236fc6989be1512824ff5426161e9bc8db,LEARNER,04/01/19 2:17
008e006db452d3f6797b363446be58bdb5fb9b40,LEARNER,22/05/18 2:27
008f17893128ed9815dacef227de96eb2080d8e4,LEARNER,01/01/19 22:05
